stream,replicate,LandUse,k_micro,k_total,mass_loss_micro,mass_loss_total,k_macro,mass_loss_macro,total_abundance,shannon_diversity,taxa_richness,Gammarids,Trichoptera,Chironomids,Others,ph,water_temp,oxygen_dissolved,oxygen_saturation,redox,conductivity,mean_abundance,mean_diversity,mean_richness
BIE1,rep 1,urban,-0.010082258553914899,Inf,-483.804071729158,100,Inf,583.8040717291581,30,NA,2,20,10,0,NA,7.6,9,11.86,103.130434782609,76.1,138,21,0,1.3333333333333333
BIE1,rep 2,urban,-0.010288880776642506,-0.010884817438183082,-505.3000720324526,-571.8353110664596,-5.959366615405758e-4,-66.53523903400696,0,0,0,0,0,0,0,7.6,9,11.86,103.130434782609,76.1,138,21,0,1.3333333333333333
BIE1,rep 3,urban,-0.009794600458639724,-0.010197969768242634,-455.14273799143206,-495.7462941198772,-4.033693096029099e-4,-40.60355612844512,33,NA,2,30,3,0,NA,7.6,9,11.86,103.130434782609,76.1,138,21,0,1.3333333333333333
BIE2,rep 1,rural,-0.009616237485748297,Inf,-438.0824202904045,100,Inf,538.0824202904046,27,0.5722806988018472,2,7,20,0,0,7.62,8.8,11.79,101.813471502591,76.2,146,39.666666666666664,0.6580031378685094,2.3333333333333335
BIE2,rep 2,rural,-0.009612612819775646,Inf,-437.74121393638393,100,Inf,537.7412139363839,20,0.6931471805599453,2,10,10,0,0,7.62,8.8,11.79,101.813471502591,76.2,146,39.666666666666664,0.6580031378685094,2.3333333333333335
BIE2,rep 3,rural,-0.010580857809055065,Inf,-537.0322629563635,100,Inf,637.0322629563635,72,0.7085815342437357,3,20,50,2,0,7.62,8.8,11.79,101.813471502591,76.2,146,39.666666666666664,0.6580031378685094,2.3333333333333335
BRA1,rep 1,urban,-0.01009560190081688,-0.004595412621018089,-485.1688971452401,-123.4901618834591,0.005500189279798792,361.678735261781,12,NA,2,11,1,0,NA,8.23,10.4,12.48,112.028725314183,81.9,158,18,NA,2
BRA1,rep 2,urban,-0.009069070862120488,-0.009612612819775646,-388.94870531144556,-437.741213936384,-5.435419576551581e-4,-48.79250862493842,21,NA,2,14,0,7,NA,8.23,10.4,12.48,112.028725314183,81.9,158,18,NA,2
BRA1,rep 3,urban,-0.009291962125613819,Inf,-408.3974674906168,100,Inf,508.3974674906168,21,NA,2,20,1,0,NA,8.23,10.4,12.48,112.028725314183,81.9,158,18,NA,2
BRA2,rep 1,rural,-0.008419404426410038,Inf,-336.4029267922812,100,Inf,436.4029267922812,9,NA,3,2,2,5,NA,8.35,7.3,11.98,99.5016611295681,66.6,197,7.666666666666667,0,2
